NetID,Professor Name,Professor Description,Research Interest,Research Area,Research Topic
boppart,Stephen Allen Boppart,"Prof. Boppart graduated from the University of Illinois at Urbana-Champaign (UIUC) in 1990 with a B.S. in Electrical Engineering and an option in Bioengineering. Continuing at UIUC, he completed his M.S. in Electrical Engineering in 1991, where he developed microfabricated multi-electrode arrays for neural recordings. From 1991 to 1993, at the Air Force Laser Laboratory in San Antonio, Texas, he conducted research on laser-tissue interactions in the eye, helping establish national laser safety standards. Prof. Boppart then went on to MIT, receiving his Ph.D. in 1998 in Medical and Electrical Engineering. His doctoral studies included the development of optical coherence tomography in Prof. Jim Fujimoto's laboratory.  As part of a joint program between MIT and Harvard, Prof. Boppart completed his M.D. from Harvard Medical School in June 2000. Currently, Prof. Boppart is an Abel Bliss Professor of Engineering with appointments in the Departments of Electrical and Computer Engineering, Bioengineering, and Medicine at UIUC. He is Head of the Biophotonics Imaging Laboratory at the Beckman Institute for Advanced Science and Technology and along with a team of 25 researchers, is investigating novel optical diagnostic imaging technologies for basic science and translational clinical applications.  From 2006-2008, he served as Founding Director of the Mills Breast Cancer Institute, and holds a research position with Carle Foundation Hospital in Urbana, Illinois. His efforts included constructing a new building and developing new infrastructure to support translational research and technology development in biomedical research between UIUC and Carle Foundation Hospital.  Prof. Boppart has co-founded three companies, the two more recent at UIUC include Diagnostics Photonics and PhotoniCare, which include novel optical imaging technologies for surgical and primary care applications, respectively. Currently he is Director of the campus-wide Imaging at Illinois initiative which leverages the strengths and diversity of over 100 faculty working in all aspects of imaging science, technology, and applications. Prof. Boppart's teaching activities and interests are highly interdisciplinary, following his research activities. Teaching activities cover cross-cutting areas in engineering, medicine, and biology. Courses have included ECE/BioE 414 and 415, Biomedical Instrumentation lecture and laboratory, ECE 460 Optical Imaging, ECE 380 Biomedical Imaging, and ECE 467 Biophotonics. For each of these, courses are taught relating fundamental engineering and scientific principles to real-world applications. Students participate directly with state-of-the-art information exchange by performing literature searches and preparing classroom presentations of journal articles about techniques and technologies discuss in lecture. Concepts are reinforced by use of stimulating discussions centered around clinical scenarios. For example, students in ECE 380 Biomedical Imaging are randomly given a medical beeper than when called for an ""emergency"", are presented with clinical medical images and scenarios that call on their ability to apply course principles to diagnose technical problems in the imaging data or systems. Students complete these courses having a broad-based knowledge of these subjects, and key tools for further in-depth investigations and advanced study. My interdisciplinary research group combines the fields of engineering, medicine, and biology to develop novel optical biomedical imaging technologies and translate these for biological discovery and clinical applications. Biophotonics, the application of light in medicine, biology, and biotechnology applications, enables us to develop innovative technologies to detect disease at early stages, when it is most amenable to treatment. There is a long history of undergraduate research opportunities in Prof. Boppart's Biophotonics Imaging Laboratory. Over the last 15 years, over 75 undergraduate students have conducted research in Prof. Bopparts laboratory, often leading to an undergraduate thesis. Research areas cover aspects of optical imaging and physics, signal and imaging processing, image acquisition systems, biomedical optics and biophotonics, laser and optical source development, and clinical imaging applications. Undergraduate research experiences typically extend over two or more semesters, and result in the completion of an undergraduate thesis and a departmental symposium presentation. Exceptional research has been published in peer-reviewed journals and presented at national conferences.","
Optical Diagnostics of Cancer
Medical Engineering
Image-Guided Surgery
Optical Coherence Tomography
Lasers in Medicine and Biology
Optical Biomedical Imaging","
Biomedical imaging
Biomedical Imaging, Bioengineering, and Acoustics
Biosensors and bioelectronics
Coherent optics/imaging
Electromagnetics and Optics
Lasers and optical physics
Nano-photonics
Nanotechnology
Ultrafast laser spectroscopy","
Bioelectronics and Bioinformatics
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Decision science
Electronics, Plasmonics, and Photonics
Genomics
Healthcare and medical technologies
Imaging science and systems
Machine learning
Medical imaging
Nanomedicine and bio-nanotechnology
Neuro-engineering
Photonics: optical engineering and systems
Point-of-care diagnostics
Quantum optics, cryptography, information, and computing"
nikita,Nikita Borisov,"My research interests lie in the area of computer security and privacy, especially as applied to large-scale distributed systems. My current focus is on anonymity: analysis of existing anonymous systems and the design of new peer-to-peer anonymous networks. In this research I take a systems approach, with rigorous, quantitative metrics of anonymity and analysis with help from simulations. I also work on other privacy enhancing technologies, such as techniques for privacy-preserving data aggregation, as well as research into building reliable and secure peer-to-peer networks.","
Fingerprinting of network traffic and endpoints
Privacy-preserving data sharing
Design and analysis of anonymous networks","
Communication networks
Computer networking
Computer security, privacy, and information trust
Cryptographic systems and protocols
Distributed and peer-to-peer systems
Operating systems
Watermarking and information forensics","
Cybersecurity and privacy
Distributed computing and storage systems
Sensing systems
Smart grid and energy delivery
Wearable and mobile computing"
boses,Subhonmesh Bose,,,,
ybresler,Yoram Bresler,"Yoram Bresler received the B.Sc.  (cum laude) and M.Sc. degrees from the Technion, Israel Institute of Technology, in 1974 and 1981 respectively, and the Ph.D degree from Stanford University, in 1986, all in Electrical Engineering.  In 1987 he joined the  University of Illinois at Urbana-Champaign, where he is  currently a GEBI Founder Professor of Engineering at the Departments of Electrical and Computer Engineering and of Bioengineering, and professor at the Coordinated Science Laboratory.   He is also President and Chief Technology Ocer at InstaRecon, Inc., a startup he founded to commercialize breakthrough technology for tomographic reconstruction developed in his academic research.  His current  research interests include multi-dimensional and statistical signal processing and their applications to inverse problems in imaging, and in particular compressed sensing and computed tomography, and machine learning in signal processing.   Dr. Bresler has served on the editorial board of several journals, including the IEEE Transactions on Signal Processing, the IEEE Journal on Selected Topics in Signal Processing, Machine Vision and Applications, and the SIAM Journal on Imaging Science. He has also served on various committees of the IEEE, including the Image and Multidimensional Signal Processing Technical Committee, Biomaging and Signal Processing Technical Committee, and the Awards Board of the IEEE Signal Processing Society.    Dr. Bresler  received two Best Journal Paper Awards from the IEEE Signal Processing society, and two paper he coauthored with his students received the Young Author Best Paper Award from the same society in 2002 and in 2016.  He is the recipient of a 1991 NSF Presidential Young Investigator  Award, the Technion (Israel Inst. of Technology) Fellowship in 1995, and the Xerox Senior Award for Faculty Research in 1998. He was named a University of Illinois Scholar in 1999, appointed as an Associate at the Center for Advanced Study of the University in 2001-2, and Faculty Fellow at the National Cener for Supercomputing Applications (NCSA) in 2006. He is a Fellow of the IEEE and of the American Institute for Medical and Biomedical Engineers (AIMBE).  My teaching focuses on signal processing at both the undergraduate and graduate level. I regularly teach ECE310 -- introduction to DSP, ECE311 - Intro to DSP Lab,  and ECE 513 -- Vector Space Signal Processing. My current research addresses five main areas: 1) Practical Compressive Sensing. This work addresses the development of theory and methods for sampling signals at less than the Nyquist rate, by using sparsity properties of their representation with respect to an appropriate basis, or in an appropriate space. Applications are being developed in magnetic resonance imaging (MRI) and in computed tomography (CT). 2)Statistical and Machine Learning for Sparse Signal Representation and Compressive Sensing. New methods of learning efficient signal representations from data are being developed and applied to compressive sensing. Learning the models from the sensed data itself provides substantial reduction in the amount of data needed for high-quality reconstruction. The application to Big Data is a recent area of emphasis in this work, which now addresses the development of scalable and on-line algorithms. 3) Statistical and Machine Learning (including deep neural networks) for inverse problems in imaging. 4) Study of fundamental performance bounds and the development of computationally efficient algorithms with provable guaranteed performance for bilinear inverse problems with sparsity constraints. These problems are more difficult than linear inverse problems, and much less is known about their theory. Yet, they arise in many engineering and scientific applications, including the classical problem of blind deconvolution. 5) Signal processing for Big Data, and in particular for mutlidimensional (tensor) data, with applications in brain imaging and neuroscience.","
Biomedical imaging systems,  inverse problems, compressed sensing, sparse representations, machine learning, big data, Statistical signal and image processing","
Biomedical imaging
Computed imaging systems
Image, video, and multimedia processing and compression
Machine learning
Machine learning and pattern recognition
Signal detection and estimation
Signal Processing","
Autonomous Systems and Artificial Intelligence
Bioelectronics and Bioinformatics
Computational science and engineering
Data science and analytics
Data/Information Science and Systems
Imaging science and systems
Machine learning
Medical imaging
Sensing systems"
cangella,Andreas C Cangellaris,,,,
dchen,Deming Chen,,,,
ywchen,Yuting Wu Chen,,,,
zcheng1,Zuofu Cheng,,,"
Acoustics",
w-chew,Weng Cho Chew,"W.C. Chew received all his degrees from MIT.   His research interests are in wave physics, specializing in fast algorithms for multiple scattering imaging and computational electromagnetics in the last 30 years.  His recent research interest is in combining quantum theory with electromagnetics, and differential geometry with computational electromagnetics.  After MIT, he joined Schlumberger-Doll Research in 1981.  In 1985, he joined U Illinois Urbana-Champaign, where he was then the director of the Electromagnetics Lab from 1995-2007.  During 2000-2005, he was the Founder Professor, 2005-2009 the YT Lo Chair Professor, and since 2013 the Fisher Distinguished Professor.  During 2007-2011, he was the Dean of Engineering at The University of Hong Kong.   He has co-authored three books, many lecture notes, over 400 journal papers, and over 600 conference papers.  He is a fellow of various societies, and an ISI highly cited author.   In 2000, he received the IEEE Graduate Teaching Award, in 2001, the AP-S Schelkunoff Best Paper Award, in 2008, he received the IEEE AP-S CT Tai Distinguished Educator Award, in 2013, elected to the National Academy of Engineering, and in 2015 received the ACES Computational Electromagnetics Award.  He is selected to receive the 2017 IEEE Electromagnetics Award, and will be the next IEEE AP-S President in 2018.  He has international collaboration with The U of Hong Kong, and participates actively in the inter-disciplinary Area of Excellence Project on Theory, Modeling, and Simulation of Emerging Electronics supported by the Hong Kong government. Prof. Chew teaches undergraduate courses and graduate courses.  Throughout his career at UIUC, he has taught a large variety of undergraduate courses, ranging from electrical machinery, linear systems, electronic devices, electromagnetic fields and waves, to quantum mechanics for electrical engineers. He also teaches graduate courses in fundamental electromagnetics, waves and fields in inhomogeneous media, and theory of microwave and optical waveguides.  He seeks to explain difficult concepts in a simple way so that one can obtain good physical insight from the complicated mathematics.  He often supplements his lectures with supplementary lecture notes.  He believes in the adages, ""Once the mind is stretched, it does not regain its original dimension,"" and, ""If you can't explain something simply, you don't really understand it.""  He is the winner of IEEE Graduate Teaching Award, the UIUC Campus Award for Excellence in Graduate and Professional Teaching, and IEEE AP Chen-To Tai Distinguised Educator Award.
Prof. Chew's research interest is in computational electromagnetics and fast computational algorithms for solving electromagnetic scattering and multiphysics problems. His recent research interest is in adding quantum effects and multi-physics concepts to computational works. This includes developing models for solar cells, nano-electronics, quantum transport, and Casimir force. He also studies computational methods to solve the multi-scale problem in computer chip and circuit design. He works with the Area of Excellence Project at The University of Hong Kong on ""Theory, Modeling, and Simulation of Emerging Electronics"".

His past areas of research interest have been in wave propagation, scattering, inverse scattering, complex boundary value problems for microstrip circuits, and inhomogeneous media for geophysical subsurface sensing, nondestructive testing applications.  Previously, he has designed experiments with his graduate students to demonstrate the super-resolution phenomena of nonlinear inverse scattering. Working with his group and NCSA in year 2004, they have solved record-size electromagnetic scattering problems with 20 million unknowns using fast algorithms and matrix-free methods. He is the originator of several fast algorithms for solving electromagnetics scattering and inverse problems, and has authored a book, Waves and Fields in Inhomogeneous Media, and coauthored two books, Fast and Efficient Algorithms in Computational Electromagnetics and Integral Equation Methods for Electromagnetic and Elastic Waves, in addition to more than 300 scientific journal articles and 400 conference papers, several patents, book chapters, and many lecture notes.
 Prof. Chew welcomes undergraduates to work in his research group.","
Casimir force calculation, solar cells, nano-electronics, quantum effects in optics and electromagnetics, and nano-optics
Inverse scattering, computational imaging, and physics-based signal processing
Parallelization of fast algorithms
Electromagnetics, wave propagation in inhomogeneous media, microwave   integrated circuits, microstrip antennas, and fast algorithms for radar scattering, low frequency electromagnetics, layered media, and left-handed materials.","
Biomedical Imaging, Bioengineering, and Acoustics
Electromagnetic theory
Electromagnetics and Optics
Nanotechnology",
hyungsoo,Hyungsoo Choi,"Synthesis and development of tailored organometallic, inorganic and polymeric precursors to deposit nanostructured materials, such as thin films, nanoparticles and nanowires of metals and ceramics, and micro and nano-spheres of biomaterials, via sol-gel processing, flow-limited field emission electrostatic spray (FFESS) deposition, and chemical vapor deposition (CVD) for various devices such as display devices, solar cells, and metamaterials, and via chemical solution method and precision particle fabrication (PPF) technology for advanced drug delivery and cell therapy, including pancreatic islet encapsulation for type I diabetes treatment.","
Electronic and optical materials:
electronic, optical and magnetic materials for various devices involving thin films, micro and nano particles, and nanowires/tubes of metals, and metal nitrides and oxides utilizing their electronic, optical, optoelectronic, and magnetic properties.
Thin film and nanoparticle fabrication:
Thin films, micro and nano particles, and nanowires/tubes via sol-gel processing, charged liquid cluster beam (CLCB) deposition, chemical vapor deposition (CVD), chemical solution deposition (CSD), and precision particle fabrication (PPF) technology.
Precursors for Nanoscale materials synthesis:
Syntheses and development of tailored organometallic, inorganic and polymeric precursors
Bio-materials:
micro and nano spheres/capsules of biodegradable/compatible materials for imaging, advance drug delivery, and cell therapy.","
Bionanotechnology
Nano-materials
Semiconductor materials
Sensors","
Charge particle physics and engineering
Nanomedicine and bio-nanotechnology
Semiconductor devices and manufacturing
Solar and renewable technology"
choquett,Kent D Choquette,"Kent D. Choquette received B.S. degrees in Engineering Physics and Applied Mathematics from the University of Colorado-Boulder and the M.S. and Ph.D. degrees in Materials Science from the University of Wisconsin-Madison.  From 1990 to 1992 he held a postdoctoral appointment at AT&T Bell Laboratories, Murray Hill, NJ. He then joined Sandia National Laboratories in Albuquerque, NM, and from 1993 to 2000 was a Principal Member of Technical Staff.  While at Sandia in 1994 he invented and demonstrated the first monolithic selectively oxidized vertical cavity surface emitting laser (VCSEL) which today is referred to as the oxide-confined VCSEL, which toay is manufactured around the world and over a billion have been deployed in data communication and sensing applications. He became a Professor in the Electrical and Computer Engineering Department at the University of Illinois in 2000.  His Photonic Device Research Group is centered around the design, fabrication, characterization, and applications of vertical cavity surface-emitting lasers (VCSELs), photonic crystal light sources, nanofabrication technologies, and hybrid integration techniques for photonic devices.  Dr. Choquette has authored over 300 technical publications and three book chapters, and has presented numerous invited talks and tutorials.  He is an Associate Editor of the Journal of Lightwave Technology, and served in the past as Associate Editor of IEEE Journal of Quantum Electronics, and IEEE Photonic Technology Letters, and as a Guest Editor of IEEE Journal of Selected Topics in Quantum Electronics.  From 2000 to 2002, he was an IEEE/Lasers and Electro-Optics Society (LEOS) Distinguished Lecturer.  He was awarded the 2008 IEEE/Photonics Society Engineering Achievement Award, the 2012 Nick Holonyak, Jr. Award from the Optical Society of America, the 2013 Distinguished Service Award from the IEEE Photonics Society, and the 2016 Technology Achievement Award from SPIE. He has served as the IEEE Photonics Society Vice President of Conferences, Vice President of Technical Affairs, President Elect, and in 2016-2017 he will serve as the President. He is a Fellow of the IEEE, a Fellow of the Optical Society of America, a Fellow of SPIE, and a Fellow of the American Association for the Advancement of Science. The among the reasons that I joined the University of Illinois, after spending 10 years at Bell Laboratories and Sandia National Laboratories, is the opportunity to teach the next generation of scientists and engineers, and the personal challenge and freedom to learn new areas of science and technology.  I teach undergraduate courses covering the physics and fabrication of solid state devices.  In particular, I teach a new introduction course on photonics and its applications in digital information distribution (ECE304), as well as a hands-on photonics lab where students can work with and learn about gas, semiconductor, and fiber lasers (ECE495).  I also teach three graduate courses, an introduction to compound semiconductors and semiconductor lasers (ECE532); a graduate course which I created that covers quantum optoelectronics and microcavity lasers, where students learn applied quantum mechanics and quantum optics (ECE572); and a graduate course which I created that covers the interaction of light with matter on the nanoscale (ECE574). The Photonic device research group is involved in the study of semiconductor photonic and optoelectronic device physics, fabrication technologies, and systems with a strong emphasis on vertical cavity surface emitting lasers (VCSELs). Photonic devices are key components for the infrastructure of the Information Age. Active devices, such as VCSELs, are the foundation for short and soon medium length optical fiber based interconnect applications. Currently there are research efforts to develop new VCSEL devices, such as composite resonator VCSELs and vertical cavity photonic integrated circuits, as well as to establish new VCSEL applications, such as 2-dimensional source and receiver arrays for high aggregate rate interconnects.  Group research into new compound semiconductor processing technologies, such as selective oxidation and heterogeneous integration techniques is also pursued. Finally, the next generation of photonic devices, such as photonic crystal membrane lasers, waveguides and nanocavities, which will enable the next generation of quantum optic communication networks, as well as opto-fluidic microsystems for lab-on-the-chip sensing and health care are under under study. The Photonic device research group is involved in the study of semiconductor photonic and optoelectronic device physics, fabrication technologies, and systems with a strong emphasis on vertical cavity surface emitting lasers (VCSELs). Photonic devices are key components for the infrastructure of the Information Age. Active devices, such as VCSELs, are the foundation for short and soon medium length optical fiber based interconnect applications. Currently there are research efforts to develop new VCSEL devices, such as composite resonator VCSELs and vertical cavity photonic integrated circuits, as well as to establish new VCSEL applications, such as 2-dimensional source and receiver arrays for high aggregate rate interconnects.  Group research into new compound semiconductor processing technologies, such as selective oxidation and heterogeneous integration techniques is also pursued. Finally, the next generation of photonic devices, such as photonic crystal membrane lasers, waveguides and nanocavities, which will enable the next generation of quantum optic communication networks, as well as opto-fluidic microsystems for lab-on-the-chip sensing and health care are under under study. Undergraduate student researchers should have completed a introduction course on photonics, such as ECE304, ECE455, or ECE495 and have interest in experimental laboratory activities.","
Vertical cavity surface emitting lasers (VCSELs)
micro-cavity and nano-cavity lasers
PIN and avalanche photodetectors
optoelectronic devices
photonic crystals
heterogenous integration technologies
nano-processing semiconductor fabrication
high bandwidth communication systems
optical sensing applications including medical and environmental sensing","
Coherent optics/imaging
Communications
Computational electromagnetics
Electromagnetics and Optics
Lasers and optical physics
Microcavity lasers and nanophotonics
Microelectromechanical systems (MEMS)
Microelectronic and photonic device modeling
Microelectronics and Photonics
Modeling and simulation of laser systems
Nano-electro mechanical systems (NEMS)
Nano-materials
Nano-photonics
Nanotechnology
Optical communications
Photonic crystals
Photonic integrated circuits (PICs)
Quantum nanostructures for electronics and photonics
Radar and LIDAR
Remote Sensing
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials
Sensors
Sprintronics","
Autonomous Systems and Artificial Intelligence
Autonomous vehicular technology, UAVs
Electronics, Plasmonics, and Photonics
Energy
Micro & nanoelectromechanical M/NEMS integrated systems
Photonics: optical engineering and systems
Quantum optics, cryptography, information, and computing
Semiconductor devices and manufacturing
Solar and renewable technology"
bcunning,Brian T Cunningham,"  My research group is focused on the application of sub-wavelength optical phenomena and fabrication methods to the development of novel devices and instrumentation for the life sciences.   The group is highly interdisciplinary, with expertise in the areas of microfabrication, nanotechnology, computer simulation, instrumentation, molecular biology, and cell biology.  In particular, we are working on biosensors based upon photonic crystal concepts that can either be built from low-cost flexible plastic materials, or integrated with semiconductor-based active devices, such as light sources and photodetectors, for high performance integrated detection systems.    Using a combination of micrometer-scale and nanometer-scale fabrication tools, we are devising novel methods and materials for producing electro-optic devices with nanometer-scale features that can be scaled for low-cost manufacturing.  Many of our techniques are geared for compatibility with flexible plastic materials, leading to applications such as low cost disposable sensors, wearable sensors, flexible electronics, and flexible displays. Because our structures manipulate light at a scale that is smaller than an optical wavelength, we rely on computer simulation tools such as Rigorous Coupled Wave Analysis (RCWA) and Finite Difference Time Doman (FDTD) to model, design, and understand optical phenomena within photonic crystals and related devices.   In addition to fabricating devices, our group is also focused on the design, prototyping, and testing of biosensor instrumentation for high sensitivity, portability, and resolution.  Advanced instruments enable high resolution imaging of biochemical and cellular interactions with the ability to monitor images of biochemical interactions as a function of time. Using the sensors and instrumentation, we are exploring new applications for optical biosensor technology including protein microarrays, biosensor/mass spectrometry systems, and microfluidics-based assays using nanoliter quantities of reagents.  The methods and systems developed in the laboratory are applied in the fields of life science research, drug discovery, diagnostic testing, and environmental monitoring.","
Sensor design and instrumentation
Finite Difference Time Domain Analysis
Nanofabrication
Photonic Crystals
Optical Biosensors","
Nanomedicine and Bionanotechnology
Optoelectronics and Nanophotonics",
jdallesa,John Michael Dallesasse,"Prof. Dallesasse has over 20 years of experience in the Optoelectronics Industry, and has held a wide range of positions in technology development and management, including Vice President of MicroLink Devices and Senior Director of Engineering and Technology for Emcores Fiber Optics Division.  Most recently, he was the Chief Technology Officer, Vice President, and co-founder of Skorpios Technologies, Inc., a venture-capital funded startup that is developing and commercializing silicon photonic ICs based upon a wafer-scale process for selective integration of III-V materials on SOI substrates.  His technical contributions include, with Nick Holonyak, Jr., the discovery of III V Oxidation, which has become an important process technology in the fabrication of high-speed VCSELs.  Prof. Dallesasse has also been an active participant in the IEEE 802.3 standards effort, and was an important contributor in the definition of the 10GBASE-LX4 port type for use with installed legacy multimode fiber. A key attraction of making the transition from a successful career in industry to an academic position is the ability to pass on years of accumulated experience to a new generation.  Through the course of my career I have had the ability to mentor many young engineers, helping them grow both personally and professionally.  This has been one of my greatest sources of satisfaction, and a key motivation for my career growth into engineering management.  There is tremendous satisfaction in seeing a spark of insight turn into a flame of knowledge.  Making a positive impact on the lives of others through helping them learn and then seeing the contributions that they, in turn, are able to make provides a fulfillment that cannot be measured. Photonic integration is a necessity for next-generation optical networks.  As the number of applications that demand significant bandwidth increase, the ability of existing networks to serve those needs is compromised.  Solutions that enable the existing fiber infrastructure to carry more data, such as advanced optical modulation formats based upon phase-shift-keying and polarization multiplexing, require complex optical transmitters and coherent optical receivers assembled using discrete components.  These solutions are too expensive for broad deployment, and face fundamental challenges in reducing system cost.  The most promising approach to overcoming these challenges is photonic integration.  Both Silicon Photonics and Monolithic Integration on InP face fundamental challenges.  Silicon is an outstanding material for complex electronics and waveguides, but its indirect bandgap and weak nonlinear optical properties create challenges with regard to the generation, efficient detection, and active control of light.  Compound semiconductor materials, especially those that are lattice matched to InP or GaAs, are outstanding materials for these functions but are costly and not ideal for the fabrication of complex electronics, especially ICs such as network processors.  Past attempts to bring these materials together have not progressed past the R&D stage due to limitations in performance, reliability, or manufacturability.  Direct epitaxial growth of GaAs or InP on silicon faces the problem of having a high defect-density metamorphic layer that can impact device reliability.  Wafer bonding techniques, which have been successfully employed in the LED area as well as in the fabrication of SOI wafers, show promise but also face challenges.  Direct bonding at high temperature creates significant stress, as the thermal expansion coefficients of Si and III-Vs are not well matched.  This stress has an unacceptable impact on device reliability.  Lower-temperature bonding techniques using plasma activation, chemical treatment, or atomically thin interface layers show promise but require further development.  An integration approach that recognizes and addresses material compatibility issues and manufacturability should be able to overcome prior barriers to commercialization and enable broad deployment of photonic integrated circuits.  What to integrate is also a key area of interest.  Recent progress on the Feng-Holonyak Transistor Laser suggests that it may be able to serve as a fundamental device element in photonic-electronic integrated circuits, but further research on device integration is required. The Advanced Semiconductor Device and Integration Group welcomes the participation of undergraduates in the research process through independent study projects, undergraduate thesis projects, and through information working relationships.  A limited number of slots are available, but interested individuals are encouraged to contact Professor Dallesasse or one of his graduate students.","
Transistor Lasers and Light Emitting Transistors
Compound Semiconductor Materials
Compound Semiconductor Devices
Photonic Integration & Silicon Photonics","
Gallium nitride power semiconductors
Lasers and optical physics
Microcavity lasers and nanophotonics
Microelectronic and photonic device modeling
Microelectronics and Photonics
Microwave devices and circuits
Microwave integrated circuits
Millimeter wave integrated circuits
Nano-materials
Nano-photonics
Nanotechnology
Optical communications
Photonic crystals
Photonic integrated circuits (PICs)
Quantum nanostructures for electronics and photonics
Semiconductor electronic devices
Semiconductor lasers and photonic devices
Semiconductor materials
Sensors","
Beyond CMOS
Electronics, Plasmonics, and Photonics
Photonics: optical engineering and systems
Semiconductor devices and manufacturing"
minhdo,Minh N Do,"Minh N. Do received the B.Eng. degree in Computer Engineering from the University of Canberra, Australia, in 1997, and the Dr.Sci. degree in Communication Systems from the Swiss Federal Institute of Technology Lausanne (EPFL) in 2001.  Since 2002, he has been a Professor in the Department of Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign (UIUC), and held joint appointments with the Coordinated Science Laboratory, Beckman Institute, Department of Bioengineering, and Department of Computer Science.  He received a Silver Medal from the 32nd International Mathematical Olympiad in 1991, University Medal from the University of Canberra in 1997, Doctorate Award from the EPFL in 2001, CAREER Award from the National Science Foundation in 2003,  Xerox Award for Faculty Research from UIUC in 2007, and Young Author Best Paper Award from IEEE in 2008.  He was an Associate Editor of the IEEE Transactions on Image Processing, and a member of several IEEE Technical Committees on Signal Processing.  He was elected as an IEEE Fellow in 2014 for his contributions to image representation and computational imaging.  He has contributed to several tech-transfer efforts, including as a co-founder and CTO of Personify and Chief Scientist of Misfit.","
Data science
Geometric vision
Computational imaging
Signal processing","
Biomedical Imaging, Bioengineering, and Acoustics
Communications
Robotics, vision, and artificial intelligence
Signal Processing","
Autonomous Systems and Artificial Intelligence
Autonomous vehicular technology, UAVs
Bioelectronics and Bioinformatics
Cognitive computing
Computational science and engineering
Cyberphysical systems and internet of things
Data science and analytics
Data/Information Science and Systems
Genomics
Healthcare and medical technologies
Imaging science and systems
Machine learning
Machine vision
Medical imaging
Point-of-care diagnostics
Robotics
Sensing systems
Wearable and mobile computing"
dokmanic,Ivan Dokmanic,,,,
aledan,Alejandro Dominguez-Garcia,,"
Microgrids
Grid Data Analytics
Reliability Analysis","
Power and Energy Systems","
Cyberinfrastructures
Decision science
Distributed computing and storage systems
Energy
Network science and engineering
Smart grid and energy delivery
Smart infrastructures
Solar and renewable technology"
